event_id,river_mile,sample_date,project,biosample_collection_method,replicate,group,score_bioassessment_profile,raw_richness,score_richness,raw_ept_richness,score_ept_richness,raw_hilsenhoff_biotic_index,score_hilsenhoff_biotic_index,raw_shannon_diversity,score_shannon_diversity,raw_percent_model_affinity,score_percent_model_affinity,raw_nutrient_biotic_index_phosphorus,score_nutrient_biotic_index_phosphorus,raw_non_chiro_oligo_richness,score_non_chiro_oligo_richness,raw_percent_dominance_3,score_percent_dominance_3
13-PATS-0.5_20170711,0.5,2017-07-11,UD,Kick: Standard,1,A,3.78,13,3.38,2,3.06,5.74,5.95,NA,NA,48,4.76,7.31,1.73,NA,NA,NA,NA
13-PATS-0.5_20180705,0.5,2018-07-05,Patroons Creek RAS,Kick: Standard,1,A,4.46,24,6.76,2,3.06,5.74,5.95,NA,NA,50,5.16,7.45,1.37,NA,NA,NA,NA
13-PATS-0.5_20180705,0.5,2018-07-05,Patroons Creek RAS,Kick: Standard,2,A,4.06,21,5.88,3,3.61,5.53,6.21,NA,NA,47,4.6,8.08,0,NA,NA,NA,NA
13-PATS-0.5_20180705,0.5,2018-07-05,Patroons Creek RAS,Kick: Standard,3,A,4.06,22,6.18,3,3.61,6.21,5.36,NA,NA,45,4.27,7.65,0.87,NA,NA,NA,NA
13-PATS-0.5_20180705,0.5,2018-07-05,Patroons Creek RAS,Kick: Standard,4,A,4.2,24,6.76,3,3.61,5.61,6.11,NA,NA,45,4.27,7.9,0.25,NA,NA,NA,NA
13-PATS-1.3_20180705,1.3,2018-07-05,Patroons Creek RAS,Kick: Standard,1,A,3.89,21,5.88,2,3.06,6.36,5.18,NA,NA,48,4.76,7.77,0.58,NA,NA,NA,NA
13-PATS-1.3_20180705,1.3,2018-07-05,Patroons Creek RAS,Kick: Standard,2,A,3.39,16,4.26,2,3.06,6.08,5.53,NA,NA,44,4.11,8,0,NA,NA,NA,NA
13-PATS-1.3_20180705,1.3,2018-07-05,Patroons Creek RAS,Kick: Standard,3,A,4.01,21,5.88,3,3.61,5.94,5.7,NA,NA,45,4.27,7.77,0.58,NA,NA,NA,NA
13-PATS-1.3_20180705,1.3,2018-07-05,Patroons Creek RAS,Kick: Standard,4,A,3.8,19,5.29,2,3.06,6.19,5.39,NA,NA,49,4.92,7.87,0.32,NA,NA,NA,NA
13-PATS-1.8_20180705,1.8,2018-07-05,Patroons Creek RAS,Kick: Standard,1,A,4.69,23,6.47,4,4.17,6.26,5.3,NA,NA,46,4.44,6.77,3.08,NA,NA,NA,NA
13-PATS-1.8_20180705,1.8,2018-07-05,Patroons Creek RAS,Kick: Standard,2,A,3.7,16,4.26,2,3.06,6.22,5.35,NA,NA,45,4.27,7.38,1.55,NA,NA,NA,NA
13-PATS-1.8_20180705,1.8,2018-07-05,Patroons Creek RAS,Kick: Standard,3,A,5.01,21,5.88,3,3.61,5.51,6.24,NA,NA,48,4.76,6.17,4.58,NA,NA,NA,NA
13-PATS-1.8_20180705,1.8,2018-07-05,Patroons Creek RAS,Kick: Standard,4,A,5.08,15,3.97,3,3.61,4.76,7.18,NA,NA,45,4.27,5.45,6.38,NA,NA,NA,NA
13-PATS-0.5_20220713,0.5,2022-07-13,RIBS Screening,Kick: Standard,1,A,4.21,21,5.88,3,3.61,5.67,6.04,NA,NA,44,4.11,7.44,1.4,NA,NA,NA,NA
13-PATS-0.5_20220713,0.5,2022-07-13,RIBS Screening,Kick: Standard,2,A,4.11,21,5.88,4,4.17,5.47,6.29,NA,NA,42,3.79,7.84,0.4,NA,NA,NA,NA
13-PATS-0.5_20220713,0.5,2022-07-13,RIBS Screening,Kick: Standard,3,A,3.8,17,4.56,4,4.17,5.57,6.16,NA,NA,44,4.11,8.05,0,NA,NA,NA,NA
13-PATS-0.5_20220713,0.5,2022-07-13,RIBS Screening,Kick: Standard,4,A,3.87,17,4.56,4,4.17,5.84,5.82,NA,NA,44,4.11,7.73,0.67,NA,NA,NA,NA
13-PATS-1.3_20220714,1.3,2022-07-14,Patroons Creek RAS,Kick: Standard,1,A,3.08,10,2.31,2,3.06,6.01,5.61,NA,NA,43,3.95,7.82,0.45,NA,NA,NA,NA
13-PATS-1.3_20220714,1.3,2022-07-14,Patroons Creek RAS,Kick: Standard,2,A,3.8,18,4.85,2,3.06,5.91,5.74,NA,NA,45,4.27,7.57,1.07,NA,NA,NA,NA
13-PATS-1.3_20220714,1.3,2022-07-14,Patroons Creek RAS,Kick: Standard,3,A,3.46,14,3.68,2,3.06,5.79,5.89,NA,NA,44,4.11,7.78,0.55,NA,NA,NA,NA
13-PATS-1.3_20220714,1.3,2022-07-14,Patroons Creek RAS,Kick: Standard,4,A,3.56,14,3.68,2,3.06,5.85,5.81,NA,NA,47,4.6,7.74,0.65,NA,NA,NA,NA
13-PATS-1.5_20220714,1.5,2022-07-14,Patroons Creek RAS,Kick: Standard,1,A,2.3,12,3.09,1,1.25,6,5.62,NA,NA,29,1.55,8.19,0,NA,NA,NA,NA
13-PATS-1.5_20220714,1.5,2022-07-14,Patroons Creek RAS,Kick: Standard,2,A,3.6,15,3.97,3,3.61,5.89,5.76,NA,NA,43,3.95,7.71,0.73,NA,NA,NA,NA
13-PATS-1.5_20220714,1.5,2022-07-14,Patroons Creek RAS,Kick: Standard,3,A,3.06,14,3.68,2,3.06,6.02,5.6,NA,NA,37,2.98,8.18,0,NA,NA,NA,NA
13-PATS-1.5_20220714,1.5,2022-07-14,Patroons Creek RAS,Kick: Standard,4,A,1.79,8,1.54,1,1.25,6,5.62,NA,NA,23,0.52,8.03,0,NA,NA,NA,NA
13-PATS-1.7_20220714,1.7,2022-07-14,Patroons Creek RAS,Kick: Standard,1,A,3.52,16,4.26,3,3.61,6.07,5.54,NA,NA,42,3.79,7.85,0.38,NA,NA,NA,NA
13-PATS-1.7_20220714,1.7,2022-07-14,Patroons Creek RAS,Kick: Standard,2,A,3.03,13,3.38,2,3.06,6.51,4.99,NA,NA,34,2.41,7.47,1.33,NA,NA,NA,NA
13-PATS-1.7_20220714,1.7,2022-07-14,Patroons Creek RAS,Kick: Standard,3,A,3.69,19,5.29,2,3.06,7.2,4.12,NA,NA,37,2.98,6.8,3,NA,NA,NA,NA
13-PATS-1.7_20220714,1.7,2022-07-14,Patroons Creek RAS,Kick: Standard,4,A,3.17,14,3.68,2,3.06,6.14,5.45,NA,NA,38,3.15,7.79,0.52,NA,NA,NA,NA
13-PATS-1.8_20220714,1.8,2022-07-14,Patroons Creek RAS,Kick: Standard,2,A,3.24,16,4.26,2,3.06,6.18,5.4,NA,NA,40,3.47,8.09,0,NA,NA,NA,NA
13-PATS-1.8_20220714,1.8,2022-07-14,Patroons Creek RAS,Kick: Standard,3,A,2.82,16,4.26,1,1.25,5.89,5.76,NA,NA,36,2.82,8.84,0,NA,NA,NA,NA
13-PATS-1.8_20220714,1.8,2022-07-14,Patroons Creek RAS,Kick: Standard,4,A,2.22,10,2.31,0,0,5.13,6.71,NA,NA,32,2.07,9.78,0,NA,NA,NA,NA
13-PATS-1.8_20220714,1.8,2022-07-14,Patroons Creek RAS,Kick: Standard,1,A,3.86,19,5.29,4,4.17,6.02,5.6,NA,NA,43,3.95,7.89,0.28,NA,NA,NA,NA
